Model number,sSpec number,Cores,Frequency,Turbo,L2 cache,L3 cache,TDP,Socket,I/O bus,Memory,Release date,Part number(s),Release price (USD),Turbo Boost all-core/2.0 (/max. 3.0),GPU model,GPU frequency,vteIntel processors,vteIntel processors.1,Turbo Boost all-core/2.0),FSB,Mult.,Voltage,Mult,Front side bus,Multiplier,Release price,L2 Cache,Turbo Boost all-core/max turbo,Turbo Boost all-core/max turbo 2.0/max turbo 3.0,Threads
Xeon D-1513N,SR3KV (A1),4.0,1.6,2.2 GHz,4 × 256 KB,6 MB,35 W,FC-BGA 1667,DMI 2.0,2× DDR4-2133 2× DDR3L-1600,2017-07-01,GG8068203255106,$192,,,,,,,,,,,,,,,,,
Xeon D-1518,SR2DN (V2),4.0,2.2,—,4 × 256 KB,6 MB,35 W,FC-BGA 1667,DMI 2.0,2× DDR4-2133 2× DDR3L-1600,2015-11-01,GG8067402569700,$234,,,,,,,,,,,,,,,,,
Xeon D-1520,SR29B (V1),4.0,2.2,2.6 GHz,4 × 256 KB,6 MB,45 W,FC-BGA 1667,DMI 2.0,2× DDR4-2133 2× DDR3L-1600,2015-03-01,GG8067401741800,$199,,,,,,,,,,,,,,,,,
Xeon D-1521,SR2DF (V2),4.0,2.4,2.7 GHz,4 × 256 KB,6 MB,45 W,FC-BGA 1667,DMI 2.0,2× DDR4-2133 2× DDR3L-1600,2015-11-01,GG8067402568800,$199,,,,,,,,,,,,,,,,,
Xeon D-1523N,SR3KU (A1),4.0,2.0,2.6 GHz,4 × 256 KB,6 MB,45 W,FC-BGA 1667,DMI 2.0,2× DDR4-2133 2× DDR3L-1600,2017-07-01,GG8068203255105,$256,,,,,,,,,,,,,,,,,
Xeon D-1527,SR2DK (V2),4.0,2.2,2.7 GHz,4 × 256 KB,6 MB,35 W,FC-BGA 1667,DMI 2.0,2× DDR4-2133 2× DDR3L-1600,2015-11-01,GG8067402569400,$259,,,,,,,,,,,,,,,,,
Xeon D-1529,SR2DR (V2),4.0,1.3,—,4 × 256 KB,6 MB,20 W,FC-BGA 1667,DMI 2.0,2× DDR4-2133 2× DDR3L-1600,2016-04-01,GG8067402570001,$324,,,,,,,,,,,,,,,,,
Xeon D-1528,SR2DL (V2),6.0,1.9,2.5 GHz,6 × 256 KB,9 MB,35 W,FC-BGA 1667,DMI 2.0,2× DDR4-2133 2× DDR3L-1600,2015-11-01,GG8067402569500,$389,,,,,,,,,,,,,,,,,
Xeon D-1531,SR2DG (V2),6.0,2.2,2.7 GHz,6 × 256 KB,9 MB,45 W,FC-BGA 1667,DMI 2.0,2× DDR4-2133 2× DDR3L-1600,2015-11-01,GG8067402568900,$348,,,,,,,,,,,,,,,,,
Xeon D-1533N,SR3KS (A1),6.0,2.1,2.7 GHz,6 × 256 KB,9 MB,45 W,FC-BGA 1667,DMI 2.0,2× DDR4-2133 2× DDR3L-1600,2017-07-01,GG8068203255103,$470,,,,,,,,,,,,,,,,,
Xeon D-1537,SR2GF (V2),8.0,1.7,2.3 GHz,8 × 256 KB,12 MB,35 W,FC-BGA 1667,DMI 2.0,2× DDR4-2133 2× DDR3L-1600,2015-11-01,GG8067402612700,$571,,,,,,,,,,,,,,,,,
Xeon D-1539,SR2DH (V2),8.0,1.6,2.2 GHz,8 × 256 KB,12 MB,35 W,FC-BGA 1667,DMI 2.0,2× DDR4-2133 2× DDR3L-1600,2016-04-01,GG8067402569000,$590,,,,,,,,,,,,,,,,,
Xeon D-1540,SR29A (V1),8.0,2.0,2.6 GHz,8 × 256 KB,12 MB,45 W,FC-BGA 1667,DMI 2.0,2× DDR4-2133 2× DDR3L-1600,2015-03-01,GG8067401635553,$581,,,,,,,,,,,,,,,,,
Xeon D-1541,SR2DE (V2),8.0,2.1,2.7 GHz,8 × 256 KB,12 MB,45 W,FC-BGA 1667,DMI 2.0,2× DDR4-2133 2× DDR3L-1600,2015-11-01,GG8067402568700,$581,,,,,,,,,,,,,,,,,
Xeon D-1543N,SR3KW (A1),8.0,1.9,2.5 GHz,8 × 256 KB,12 MB,45 W,FC-BGA 1667,DMI 2.0,2× DDR4-2133 2× DDR3L-1600,2017-07-01,GG8068203255107,$652,,,,,,,,,,,,,,,,,
Xeon D-1548,SR2DJ (V2),8.0,2.0,2.6 GHz,8 × 256 KB,12 MB,45 W,FC-BGA 1667,DMI 2.0,2× DDR4-2133 2× DDR3L-1600,2015-11-01,GG8067402569300,$675,,,,,,,,,,,,,,,,,
Xeon D-1553N,SR3KT (A1),8.0,2.3,2.7 GHz,8 × 256 KB,12 MB,65 W,FC-BGA 1667,DMI 2.0,2× DDR4-2133 2× DDR3L-1600,2017-07-01,GG8068203255104,$855,,,,,,,,,,,,,,,,,
